,pc1,BoringDetails,JobSecurity,RightWrongWay,DifficultCommunication,Type
13055,1.2002946600775835,2,3,3,2,Desktop applications developer
13095,-0.7660808685591572,4,4,3,2,Desktop applications developer
13124,-0.2176887854254132,5,4,3,1,Desktop applications developer
13180,-0.33251807387855764,3,4,5,3,Desktop applications developer
13271,-0.7660808685591572,2,4,3,4,Desktop applications developer
13622,-0.36573428602302815,3,5,4,2,Desktop applications developer
13642,-0.2176887854254132,4,4,4,3,Desktop applications developer
13643,1.218135652653845,3,3,2,2,Desktop applications developer
13644,0.6851187890883096,3,4,2,3,Desktop applications developer
13648,-1.3323139442691638,2,5,2,1,Desktop applications developer
13678,0.2337150018314483,3,4,5,3,Desktop applications developer
13906,0.2004987896869778,2,3,2,2,Desktop applications developer
14040,-1.3323139442691638,4,3,2,2,Desktop applications developer
14058,-0.36573428602302815,3,4,2,2,Desktop applications developer
14099,-1.3323139442691638,1,5,2,1,Desktop applications developer
14116,0.10351049381009496,3,3,4,2,Desktop applications developer
14125,-0.7660808685591572,4,3,3,2,Desktop applications developer
14208,0.10351049381009496,3,2,1,2,Desktop applications developer
14218,0.7488908728207221,3,4,2,2,Desktop applications developer
14226,0.330703297708331,3,4,2,3,Desktop applications developer
14268,0.08566950123383324,2,4,3,2,Desktop applications developer
14287,0.6519025769438392,2,4,3,2,Desktop applications developer
14442,-0.7660808685591572,2,4,2,2,Desktop applications developer
14501,-0.2176887854254132,2,3,2,1,Desktop applications developer
14517,0.2004987896869778,2,4,3,2,Desktop applications developer
14518,1.297282955954466,2,5,2,2,Desktop applications developer
14522,0.2004987896869778,2,4,2,2,Desktop applications developer
14617,-0.7839218611354192,3,3,3,2,Desktop applications developer
14657,0.10351049381009496,2,5,5,3,Desktop applications developer
14677,1.7665277357875893,5,5,3,3,Desktop applications developer
14698,-0.33251807387855764,2,3,3,2,Desktop applications developer
14990,0.2004987896869778,3,3,2,3,Desktop applications developer
14992,1.6363232277662363,1,4,5,2,Desktop applications developer
15021,1.315123948530728,3,5,3,3,Desktop applications developer
15090,0.6519025769438392,3,4,4,3,Desktop applications developer
15099,-0.9141263691567726,3,2,2,2,Desktop applications developer
15215,-0.9141263691567726,4,4,3,3,Desktop applications developer
15257,1.2002946600775835,3,4,3,2,Desktop applications developer
15423,0.6519025769438392,3,3,2,3,Desktop applications developer
15475,-1.3323139442691638,3,4,1,1,Desktop applications developer
15513,0.2004987896869778,2,3,2,2,Desktop applications developer
15628,-0.23552977800167496,2,3,1,1,Desktop applications developer
15719,1.218135652653845,4,3,3,3,Desktop applications developer
15804,0.2004987896869778,2,4,4,2,Desktop applications developer
16027,-0.2176887854254132,3,4,3,2,Desktop applications developer
16072,-1.3323139442691638,2,5,3,2,Desktop applications developer
16164,-0.7839218611354192,1,3,5,4,Desktop applications developer
16182,-0.7660808685591572,1,5,4,2,Desktop applications developer
16309,0.6519025769438392,2,4,3,2,Desktop applications developer
16362,-0.2176887854254132,2,4,3,2,Desktop applications developer
16467,-0.2176887854254132,5,5,2,1,Desktop applications developer
16702,0.2004987896869778,3,5,2,2,Desktop applications developer
16800,-0.36573428602302815,1,3,2,2,Desktop applications developer
16851,0.7667318653969837,1,4,3,1,Desktop applications developer
16882,0.6519025769438392,3,4,3,2,Desktop applications developer
17040,0.2004987896869778,3,5,1,3,Desktop applications developer
17098,-0.36573428602302815,2,3,2,4,Desktop applications developer
17172,2.3327608114975957,2,4,2,3,Desktop applications developer
17321,-0.2176887854254132,2,5,3,2,Desktop applications developer
17339,-1.3323139442691638,1,5,5,2,Desktop applications developer
17457,1.218135652653845,2,3,3,2,Desktop applications developer
17500,0.7999480775414544,3,4,3,2,Desktop applications developer
17600,0.08566950123383324,2,5,3,2,Desktop applications developer
17776,-0.7839218611354192,3,2,2,2,Desktop applications developer
17909,1.218135652653845,2,4,2,2,Desktop applications developer
18121,1.2002946600775835,2,5,2,2,Desktop applications developer
18223,1.0368739399117597,2,2,4,2,Desktop applications developer
18258,1.218135652653845,2,3,4,2,Desktop applications developer
18350,-0.33251807387855764,3,5,2,2,Desktop applications developer
18389,-1.3323139442691638,4,4,2,4,Desktop applications developer
18521,0.6519025769438392,2,3,3,2,Desktop applications developer
18690,2.2025563034762423,3,3,1,3,Desktop applications developer
18766,0.2337150018314483,2,4,4,2,Desktop applications developer
19042,0.6519025769438392,2,3,5,2,Desktop applications developer
19200,0.25155599440771,2,4,2,2,Desktop applications developer
19356,-1.3323139442691638,2,1,2,1,Desktop applications developer
19586,0.330703297708331,2,2,3,1,Desktop applications developer
19757,0.7488908728207221,2,4,4,2,Desktop applications developer
19765,-0.3478932934467664,3,4,2,1,Desktop applications developer
19780,0.6519025769438392,4,2,2,2,Desktop applications developer
19845,0.2337150018314483,4,3,4,3,Desktop applications developer
19894,-0.36573428602302815,4,4,5,1,Desktop applications developer
19974,-0.31467708130229605,3,4,4,2,Desktop applications developer
20071,3.7507442570005924,2,5,2,2,Desktop applications developer
20182,0.6519025769438392,2,3,4,2,Desktop applications developer
20340,-0.2176887854254132,2,5,3,4,Desktop applications developer
20406,0.9731018561793474,2,3,2,3,Desktop applications developer
20623,0.7821070849651927,1,3,2,1,Desktop applications developer
20808,-1.3323139442691638,1,3,1,2,Desktop applications developer
20820,0.7642660923889306,3,1,5,2,Desktop applications developer
20846,0.6519025769438392,4,4,3,2,Desktop applications developer
20862,1.2002946600775835,3,3,4,3,Desktop applications developer
20870,0.08566950123383324,3,2,4,2,Desktop applications developer
20931,0.2004987896869778,3,3,4,3,Desktop applications developer
20976,0.2004987896869778,2,4,2,3,Desktop applications developer
21006,0.7642660923889306,2,4,2,2,Desktop applications developer
21102,0.7667318653969837,3,4,2,4,Desktop applications developer
21155,0.6519025769438392,4,3,4,2,Desktop applications developer
21281,-1.3323139442691638,3,5,2,1,Desktop applications developer
21375,0.6519025769438392,2,3,2,2,Desktop applications developer
21460,-0.7660808685591572,2,3,2,2,Desktop applications developer
21462,-0.36573428602302815,2,3,2,3,Desktop applications developer
21839,-0.31467708130229605,3,3,1,1,Desktop applications developer
21944,-0.7660808685591572,2,5,3,2,Desktop applications developer
21960,-1.3323139442691638,4,3,3,3,Desktop applications developer
21999,0.7667318653969837,2,5,4,2,Desktop applications developer
22193,0.330703297708331,2,3,4,2,Desktop applications developer
22233,0.8790953808420754,2,5,5,2,Desktop applications developer
22251,-0.2176887854254132,2,5,3,3,Desktop applications developer
22420,0.2337150018314483,5,4,4,2,Desktop applications developer
22544,0.8177890701177158,2,3,4,5,Desktop applications developer
22605,0.6519025769438392,3,3,3,1,Desktop applications developer
22652,-1.3323139442691638,1,3,5,1,Desktop applications developer
23033,0.6519025769438392,2,4,2,2,Desktop applications developer
23171,0.10351049381009496,4,4,4,3,Desktop applications developer
23360,1.087931144632492,2,3,3,3,Desktop applications developer
23496,-0.7839218611354192,2,5,2,5,Desktop applications developer
23603,-0.880910157012302,4,3,3,2,Desktop applications developer
23687,-0.31467708130229605,3,5,2,2,Desktop applications developer
