,Mac OS,Microsoft Azure,SharePoint,Windows Phone,iOS,Serverless,Mainframe,Raspberry Pi,Windows Desktop,Salesforce,Linux Desktop,Amazon Web Services (AWS),Arduino,WordPress,Android
276,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
278,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
279,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
281,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
284,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1
285,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
286,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
288,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
290,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
291,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
294,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
295,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
297,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
299,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
300,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
303,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
306,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
312,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
314,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
316,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
317,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
320,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
323,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
324,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
327,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
329,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1
330,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
331,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1
333,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
334,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
335,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
336,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
340,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
341,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
342,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
343,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
347,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
