,Mainframe,Raspberry Pi,Linux Desktop,SharePoint,Amazon Web Services (AWS),Android,Windows Phone,WordPress,iOS,Mac OS,Microsoft Azure,Arduino,Serverless,Salesforce,Windows Desktop
71,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
75,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
81,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
83,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
84,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
88,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
91,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
94,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
95,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
99,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
100,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
106,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
108,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
110,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
112,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0
121,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
124,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
133,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
146,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
149,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
154,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
155,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
158,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
168,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
169,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
170,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
172,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
173,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
176,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
177,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1
178,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
179,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0
180,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
182,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
185,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
189,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
190,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
191,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
192,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
196,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
198,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
206,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
215,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
218,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
220,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
221,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
228,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0
229,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
232,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
241,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
242,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
247,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
253,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
254,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
255,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
