,Spark,Xamarin,Hadoop,Node.js,.NET Core,AngularJS,Cordova,Firebase,React
614,0,0,0,1,1,0,0,0,0
616,0,0,0,0,0,1,0,1,1
617,0,0,0,0,1,0,0,0,0
618,0,0,0,0,1,0,0,0,0
621,1,0,0,0,0,0,0,0,0
623,1,0,1,0,0,1,0,0,0
624,0,0,0,1,1,0,0,0,0
628,0,0,0,1,0,0,0,0,0
633,0,0,1,0,0,1,0,0,0
634,0,0,0,1,1,1,0,0,1
635,0,0,0,0,0,0,0,0,1
641,0,0,0,0,0,0,0,0,1
643,0,0,0,1,0,1,0,0,0
646,0,0,0,0,0,1,0,0,0
647,0,1,0,1,0,1,0,0,0
648,0,0,0,1,1,0,0,0,0
650,0,0,0,1,0,1,0,0,0
653,0,0,0,0,0,0,0,0,1
655,0,0,0,0,0,0,0,0,1
658,1,0,1,0,0,0,0,0,0
664,0,0,0,1,1,0,0,0,1
668,0,1,0,1,1,1,0,0,0
669,0,0,0,0,0,1,0,0,0
670,0,0,0,0,0,0,0,0,1
674,0,0,0,1,0,0,0,1,0
680,0,0,0,1,1,1,0,0,0
682,0,0,1,0,0,0,0,0,0
685,0,0,0,1,1,0,0,0,0
688,0,0,0,1,1,0,0,0,0
689,0,0,0,0,0,0,0,0,1
690,0,1,0,0,1,0,0,0,0
691,0,0,0,1,0,1,0,0,1
694,0,1,0,1,1,0,0,0,1
696,0,0,0,0,0,1,0,0,0
697,1,0,1,0,0,0,0,0,0
701,0,0,0,0,1,0,0,0,0
702,0,0,0,1,1,1,0,0,0
704,0,1,0,0,1,0,0,0,0
706,0,0,0,1,0,0,0,0,0
707,0,1,0,1,0,1,0,0,0
708,0,0,0,1,0,0,0,0,0
709,0,0,0,0,0,1,0,0,0
714,0,0,0,1,0,1,0,0,0
715,0,0,0,0,1,1,0,0,0
718,0,0,0,1,0,1,0,0,0
719,1,0,1,0,0,0,0,0,0
721,0,0,0,1,0,1,0,0,1
722,0,0,0,1,1,1,0,0,0
723,0,0,0,1,0,1,0,0,0
724,0,1,0,1,1,0,1,1,1
725,0,1,0,0,1,0,0,0,0
728,1,0,1,0,0,0,0,0,0
730,0,0,0,1,0,0,0,0,1
733,1,0,0,0,0,0,0,0,0
734,0,0,0,1,0,0,0,0,1
735,0,0,0,1,0,1,0,0,1
736,0,0,0,0,1,0,0,0,0
737,1,0,1,0,0,0,0,0,0
740,0,1,0,1,0,1,0,1,1
742,1,0,1,0,1,0,0,0,1
743,0,0,1,1,0,1,0,0,0
744,0,0,0,0,0,1,0,1,1
745,0,0,0,0,1,0,0,0,0
749,0,0,0,0,0,0,0,0,1
755,0,0,0,1,1,0,0,0,0
756,0,0,0,0,1,0,0,0,0
758,0,0,0,0,1,0,0,0,0
759,0,1,0,0,1,0,0,0,1
760,0,1,0,0,1,1,0,0,1
762,0,1,0,0,1,0,0,0,0
765,0,0,0,0,0,1,0,0,0
766,0,0,0,1,0,0,0,0,1
767,0,0,0,0,1,0,0,0,0
768,0,1,0,1,1,0,0,0,0
770,1,0,1,0,0,0,0,0,0
772,0,0,0,0,1,0,0,0,1
774,0,1,0,0,1,1,0,0,0
777,0,0,0,0,1,0,0,0,0
779,0,0,0,1,0,1,0,0,0
781,0,0,0,1,0,1,0,0,0
784,0,0,0,0,1,0,0,0,0
785,0,0,0,0,1,0,0,0,0
790,0,0,1,1,0,0,0,0,0
796,0,0,0,1,0,0,0,0,0
797,0,0,1,0,0,1,0,0,0
798,0,1,0,0,0,1,0,0,0
799,0,0,0,1,0,0,0,0,1
800,0,0,0,0,0,0,0,0,1
801,1,0,1,0,0,0,0,0,0
802,0,0,0,0,0,0,0,0,1
803,0,0,0,1,0,0,0,0,1
805,1,0,1,0,0,0,0,0,0
806,0,0,0,1,0,0,0,0,1
807,0,1,0,0,1,1,0,0,0
809,0,0,0,0,1,0,0,0,0
813,1,0,0,0,0,0,0,0,0
815,1,0,0,0,1,0,0,0,0
816,0,0,0,0,0,0,0,0,1
818,1,0,0,0,0,0,0,0,0
820,0,0,0,0,1,0,0,0,0
821,0,0,0,0,0,0,0,0,1
822,0,0,0,0,1,0,0,0,0
823,1,0,0,0,0,0,0,0,0
827,1,0,1,0,1,0,0,0,1
828,0,0,0,1,0,1,0,0,1
829,0,0,0,0,0,0,0,1,0
831,0,0,0,1,0,1,0,0,1
832,0,0,0,1,0,0,0,0,1
833,0,0,0,0,1,0,0,0,0
834,1,0,0,1,0,0,0,1,1
836,1,0,0,0,0,0,0,0,0
837,0,1,0,0,1,0,1,0,1
839,0,0,0,1,0,0,0,0,0
841,0,0,0,1,0,1,0,0,1
842,0,0,0,0,1,0,0,0,0
847,0,1,0,0,1,1,0,0,0
848,0,1,0,0,1,0,0,0,0
849,1,0,1,1,0,0,0,0,0
854,0,0,0,1,0,0,0,0,1
855,0,0,0,1,0,0,0,0,0
857,0,0,0,1,0,1,0,0,0
858,0,0,0,1,0,0,0,0,0
860,0,0,0,1,1,1,0,1,1
865,0,0,0,1,0,0,0,0,0
867,0,0,0,1,1,1,0,0,0
869,1,0,1,0,0,0,0,0,0
871,0,0,0,0,1,0,0,0,0
874,0,0,0,0,0,0,0,0,1
876,0,1,0,0,1,1,0,0,0
877,0,0,0,1,0,0,0,0,1
879,0,0,0,0,1,0,0,0,0
881,0,0,0,1,0,1,0,0,0
882,0,0,0,1,0,0,0,0,1
883,0,1,0,1,1,1,0,1,1
888,0,0,0,0,0,1,0,0,1
889,0,0,0,1,0,0,0,0,0
890,0,0,0,0,0,0,0,0,1
893,1,0,1,0,0,0,0,0,0
896,0,0,0,1,0,0,0,0,0
897,0,1,0,0,1,0,0,0,0
898,1,0,0,0,0,1,0,0,0
899,0,1,0,0,1,0,0,0,1
901,0,0,0,0,0,1,0,0,0
902,0,0,1,1,0,0,0,0,1
903,0,0,1,1,1,1,0,1,1
904,1,0,1,0,1,0,0,0,0
905,0,0,0,0,0,1,0,0,0
906,0,0,0,0,0,0,0,0,1
909,1,0,0,0,0,0,0,0,0
912,1,0,1,1,0,1,1,1,1
914,0,0,0,1,0,1,1,0,0
915,0,0,0,0,1,1,0,0,0
916,0,1,0,1,0,1,1,0,0
917,0,0,0,0,0,1,0,0,0
922,0,1,0,0,1,1,0,0,0
923,0,0,1,1,0,0,0,0,0
924,0,0,0,1,0,0,0,0,1
925,0,0,0,1,0,0,0,0,0
927,0,1,0,0,1,0,0,0,1
930,0,0,0,0,1,0,0,0,0
934,0,0,0,1,0,1,0,0,1
937,0,0,0,0,1,0,0,0,0
944,0,0,0,0,1,0,0,0,0
948,0,0,0,1,0,0,0,0,0
949,0,0,0,1,0,0,0,0,1
950,0,0,0,1,0,1,0,0,0
956,0,0,0,1,0,0,0,0,0
957,0,0,0,0,0,1,0,0,1
958,0,0,1,0,0,0,0,0,0
959,0,0,0,0,1,0,0,0,0
961,0,0,0,1,1,1,0,0,0
972,0,0,1,0,0,0,0,0,0
974,0,0,0,1,0,1,0,1,0
978,0,1,0,1,0,1,0,0,0
979,0,0,0,1,0,0,0,0,1
983,0,0,0,0,0,1,0,0,0
986,1,0,0,0,0,0,0,0,0
988,0,0,0,1,0,0,0,0,0
991,1,0,0,0,1,1,0,0,1
992,0,0,0,0,1,0,0,0,0
999,0,0,0,0,1,0,0,0,1
