,Spark,React,.NET Core,Firebase,AngularJS,Node.js,Hadoop,Cordova,Xamarin
877,0,1,0,0,1,1,0,0,0
878,0,0,0,0,0,1,0,0,0
879,0,0,1,0,0,1,0,0,0
883,0,0,1,1,1,0,0,0,0
889,0,0,0,0,0,1,0,0,0
893,1,0,0,0,0,1,1,0,0
895,0,1,0,0,0,1,0,0,0
897,0,0,1,0,1,0,0,0,1
901,0,0,0,0,1,0,0,0,0
904,1,0,1,0,0,0,1,0,0
905,0,0,0,0,0,0,0,1,0
906,0,0,0,1,0,1,0,0,0
910,0,1,1,0,0,1,0,0,0
912,0,0,1,1,1,0,1,1,0
916,0,0,1,0,0,0,0,0,0
917,0,0,0,0,1,1,0,0,0
919,0,0,0,0,0,1,0,0,0
922,0,0,1,0,0,0,0,0,1
924,0,1,0,0,0,1,0,0,0
925,0,0,0,0,0,1,0,1,0
929,0,0,1,0,1,0,0,0,0
930,0,0,1,0,0,0,0,0,0
931,0,0,0,0,0,1,0,0,0
937,0,0,1,0,0,0,0,0,0
939,0,0,0,0,1,1,0,0,0
944,0,0,1,0,0,0,0,0,0
948,0,0,0,0,0,1,0,0,0
956,0,0,0,0,0,1,0,0,0
958,0,0,0,0,0,1,0,0,0
959,0,0,1,0,0,0,0,0,0
961,0,0,0,0,1,0,0,0,0
964,0,0,0,0,0,1,0,0,0
974,0,0,0,0,1,0,0,0,0
978,0,0,1,0,0,0,0,0,0
983,0,0,1,0,0,0,0,0,0
986,1,0,0,0,0,0,0,0,0
988,0,0,1,0,1,0,0,0,0
991,0,0,1,0,0,0,0,0,0
992,0,0,0,0,1,0,0,0,0
999,0,0,0,0,1,0,0,0,0
1002,0,0,0,0,1,1,0,0,0
1003,0,0,0,0,0,1,0,0,0
1007,0,0,0,1,1,0,0,0,0
1009,0,0,1,0,1,0,0,0,0
1011,0,0,0,0,1,1,0,0,0
1012,0,0,1,0,0,1,0,0,0
1014,0,1,0,0,0,1,0,0,0
1015,0,0,0,1,1,1,0,0,0
1016,0,1,0,0,1,1,0,0,0
1022,0,0,1,0,1,0,0,0,0
1023,0,0,0,1,1,1,0,1,0
1024,0,0,0,0,0,0,1,0,0
1026,0,0,1,0,1,0,0,1,0
1028,0,1,0,0,1,1,0,0,0
1030,0,0,0,0,1,0,0,0,0
1033,0,0,1,0,0,1,0,0,0
1037,0,1,0,0,1,1,0,0,0
1038,1,0,0,0,0,0,1,0,0
1039,0,0,0,0,1,0,0,0,0
1040,0,0,0,0,1,0,0,0,0
1052,0,0,1,0,0,1,0,0,0
1053,0,1,0,1,0,0,0,0,0
1054,0,0,0,0,1,1,0,0,0
1057,0,0,0,0,0,0,1,0,0
1059,0,0,1,0,1,1,0,1,0
1060,0,0,1,1,0,0,0,0,1
1063,1,0,0,0,0,0,0,0,0
1069,0,0,0,0,0,1,0,0,0
1070,0,0,0,0,0,1,0,0,0
1073,0,0,1,1,1,1,0,1,0
1075,0,1,0,0,0,1,0,0,0
1077,0,0,0,1,0,0,0,0,0
1084,0,0,0,0,1,0,0,0,0
1085,0,0,0,0,1,0,0,0,1
1088,0,1,1,0,0,0,0,0,0
1091,0,0,0,0,1,0,0,0,0
1094,0,1,0,0,0,1,0,0,0
1096,0,0,1,0,0,0,0,0,0
1101,0,0,1,0,1,1,0,1,0
1103,0,0,0,0,0,0,1,0,0
1104,0,0,0,0,1,0,0,0,0
1105,0,0,0,0,1,1,0,0,0
1111,0,1,0,0,0,0,0,0,0
1113,0,0,0,0,0,1,0,0,0
1116,1,0,0,0,0,0,1,0,0
1117,0,1,0,0,1,1,0,0,0
1119,0,0,0,0,1,1,0,0,0
1124,0,0,0,0,1,1,0,0,0
1125,0,0,0,0,0,1,0,0,0
1127,0,0,1,0,0,0,0,0,0
1129,0,0,1,0,1,0,0,0,0
1138,0,1,0,0,0,1,0,0,1
1141,0,0,0,0,0,1,0,0,0
1144,0,0,0,0,1,0,0,1,0
1147,0,0,1,0,0,0,0,0,0
1150,0,1,1,1,1,1,0,0,1
1157,1,0,0,0,0,0,1,0,0
1159,0,0,1,0,1,1,0,0,0
1162,0,0,1,0,0,0,0,0,0
1164,0,0,1,0,0,0,0,0,0
1165,0,1,0,1,0,1,0,0,0
1166,0,0,0,1,1,1,0,1,0
1167,0,0,1,0,0,1,0,1,0
1169,0,0,0,0,1,0,0,0,0
1170,0,1,0,0,1,1,0,0,0
1172,0,1,0,0,0,0,0,0,0
1176,0,0,1,0,0,0,0,0,0
1184,0,0,0,0,1,1,0,1,0
1186,0,1,0,0,0,1,0,0,0
1190,0,0,0,0,0,1,0,0,0
1191,1,0,0,0,0,1,0,0,0
1192,0,0,0,0,0,1,0,0,0
1194,0,0,0,0,0,1,0,1,0
1198,0,0,1,0,0,0,0,0,0
1202,0,0,0,0,1,1,0,0,0
1206,0,0,1,0,0,0,0,0,0
1207,0,0,0,0,1,1,0,0,0
1209,0,0,0,0,1,1,0,0,0
1210,0,1,0,0,1,1,0,0,0
1215,0,1,0,0,0,1,0,0,0
1216,0,0,1,0,1,0,0,0,0
1217,0,0,0,0,1,1,0,0,0
1223,0,1,0,0,1,1,0,0,0
1225,0,1,0,0,0,0,0,0,0
1226,0,0,0,0,0,1,0,0,0
1227,0,0,0,0,1,1,0,0,0
1230,0,0,0,0,0,1,0,0,0
1235,0,0,0,0,1,1,0,0,0
1240,0,1,0,0,0,1,0,0,0
1242,0,0,0,1,1,1,0,1,0
1244,1,0,0,0,1,0,0,0,0
1247,0,0,1,0,1,0,0,0,0
1248,0,0,0,0,1,1,0,0,0
1252,0,1,0,0,0,1,0,0,0
1254,0,0,0,0,0,1,0,1,0
1264,0,0,1,0,1,0,0,0,0
1265,0,0,1,0,0,0,0,0,0
1267,0,0,0,1,0,0,0,1,0
1269,0,0,1,0,0,0,0,0,0
1273,0,0,0,0,1,0,0,0,0
1276,0,0,0,0,0,1,0,0,0
1277,0,0,0,0,1,0,0,0,0
1279,0,0,0,0,0,1,0,0,0
1281,0,0,1,0,0,1,0,0,1
1283,1,0,0,0,1,0,0,0,0
1286,0,0,0,0,1,1,0,0,0
1288,0,1,1,0,0,1,0,0,0
1295,0,0,0,0,0,1,1,0,0
1298,0,0,0,0,1,1,0,0,0
1299,0,1,1,0,1,0,0,0,0
1301,0,0,1,0,0,0,0,0,0
1302,0,1,0,0,0,1,1,0,0
1303,1,0,0,0,0,0,0,0,0
1309,0,1,0,0,1,1,0,1,0
1310,0,1,1,0,0,1,0,0,0
1316,0,1,0,0,0,1,0,0,0
1323,0,0,1,0,1,0,0,0,0
1325,0,1,0,1,0,1,0,0,0
1326,0,0,0,0,1,1,0,0,0
1327,0,0,0,0,1,1,0,0,0
1329,0,0,1,0,0,1,0,0,0
1330,0,0,1,0,0,0,0,0,0
1333,0,0,1,0,0,0,0,0,1
1334,0,0,0,1,1,1,0,0,0
1336,0,0,1,0,1,0,0,0,0
1337,0,0,0,0,0,1,1,0,0
1341,0,0,0,0,1,1,0,0,0
1344,0,0,1,1,1,0,0,0,0
1347,0,0,0,0,1,0,0,0,0
1350,0,0,0,0,1,0,0,0,0
1352,0,1,1,0,1,1,0,0,1
1355,0,0,0,0,1,0,0,0,0
1357,0,0,0,0,1,0,1,1,0
1358,0,0,0,0,1,0,0,0,0
1360,0,0,0,0,1,1,0,0,0
1361,0,0,0,0,1,0,0,0,0
1362,0,0,1,0,1,1,0,0,0
1369,0,0,0,0,1,1,0,1,0
1370,0,1,0,0,1,1,0,0,0
1371,0,0,1,0,0,0,0,0,0
1374,0,0,0,1,1,0,0,0,0
1375,0,0,0,0,1,1,0,1,0
1383,0,1,0,0,1,0,0,0,0
1386,1,0,0,0,0,0,0,0,0
1387,0,1,0,0,1,1,0,1,0
1391,0,1,0,0,0,0,0,0,0
1392,0,0,1,0,0,0,0,0,0
1396,0,0,1,0,0,0,0,0,0
1399,0,0,0,1,1,1,0,0,0
1400,0,0,0,0,1,0,0,0,0
1409,0,1,0,0,0,1,0,0,0
1411,0,0,1,0,0,0,0,0,0
1413,0,1,0,0,0,0,0,0,0
1416,0,1,0,0,0,0,0,0,0
1419,0,0,0,0,1,0,0,0,0
1421,0,0,0,0,1,0,0,0,0
1422,0,1,0,0,1,1,0,0,0
1423,0,0,0,1,0,0,0,0,0
1425,0,1,0,0,0,1,0,0,0
1427,0,0,1,0,1,1,0,1,0
1430,0,1,0,0,0,1,0,0,0
1433,0,0,0,0,1,1,0,1,0
1436,0,1,0,0,1,0,1,0,0
1437,0,1,0,1,1,1,0,0,0
1439,0,0,0,0,0,1,0,0,0
1440,0,0,1,0,0,0,0,0,0
1441,0,0,1,0,0,0,0,0,1
1442,0,1,1,0,0,0,0,0,1
1443,0,0,0,0,1,1,0,0,0
1449,0,0,1,0,0,0,0,0,0
1450,0,0,0,0,1,1,0,1,0
1452,0,0,0,1,0,1,0,0,0
1455,0,0,0,1,0,1,0,0,0
1458,0,0,1,0,0,0,0,0,1
1460,0,0,0,0,1,0,0,0,0
1461,0,0,0,0,0,1,0,0,0
1462,0,0,0,0,0,1,0,0,0
1464,0,0,0,0,0,1,0,0,1
1466,0,0,0,0,1,1,0,0,0
1470,0,0,0,0,0,1,0,0,0
1471,0,0,1,0,0,0,0,0,0
1472,0,0,1,0,0,0,0,0,0
1473,0,0,0,0,1,0,0,0,0
1474,0,0,0,0,1,0,0,0,0
1475,0,0,0,0,1,1,0,0,0
1476,0,0,0,0,1,1,0,0,0
1477,0,1,0,0,0,0,0,0,0
1480,0,1,1,0,1,1,0,0,0
1482,0,0,0,0,0,1,0,0,0
1493,0,0,0,0,1,1,0,0,0
1494,0,1,0,0,0,1,1,0,0
1496,0,0,0,1,0,0,0,0,0
1503,0,0,1,0,1,0,0,0,0
1504,0,0,0,0,0,1,0,0,0
1505,0,0,1,0,0,0,0,0,1
1506,0,1,0,0,0,0,0,0,0
1507,0,0,0,0,1,0,0,0,0
1510,0,0,0,0,0,1,0,1,0
1516,0,0,0,0,0,0,0,1,1
1519,0,0,0,0,1,1,0,0,0
1521,0,0,0,0,1,1,0,0,0
1523,0,1,1,0,1,1,0,0,1
1524,0,0,1,0,1,1,0,0,0
1528,0,0,0,0,1,0,0,0,0
1529,0,1,0,0,1,1,0,0,0
1534,0,0,0,0,1,0,0,0,0
1539,0,1,0,0,0,1,0,0,0
1542,0,0,1,0,1,0,0,0,0
1546,0,0,0,0,1,0,0,0,0
1553,0,0,1,1,0,0,0,0,0
1557,0,0,0,0,1,0,0,0,0
1559,0,1,0,0,0,1,0,0,0
1567,0,0,1,0,0,0,0,0,0
1568,0,0,1,0,1,0,0,1,0
1576,1,0,0,0,0,0,0,0,0
1577,0,0,1,0,0,0,0,0,0
1579,0,0,1,0,0,0,0,0,0
1580,0,0,0,0,0,1,0,0,0
1581,0,0,0,1,1,1,0,0,0
1582,0,1,0,0,1,1,0,0,0
1585,1,0,0,0,0,0,0,0,0
1591,0,0,0,0,1,0,0,0,0
1593,1,0,0,0,1,1,0,0,0
1594,0,1,0,0,1,1,0,0,0
1597,0,0,1,0,0,1,0,0,1
1600,0,0,0,0,1,0,0,0,0
1602,0,1,0,0,0,1,0,0,0
1603,0,0,1,0,0,0,0,0,0
1605,0,0,1,0,1,0,0,0,0
1606,0,1,1,0,0,0,0,0,0
1612,0,0,1,1,0,0,0,0,0
1613,0,0,0,0,1,1,0,1,0
1614,0,0,0,0,1,1,0,1,0
1615,0,0,0,0,1,0,0,1,0
1619,0,1,0,0,0,0,0,0,0
1624,0,0,1,0,0,0,0,0,0
1635,0,0,0,0,0,1,0,1,0
1636,0,1,0,0,1,0,0,0,0
1637,0,0,0,0,0,1,0,0,0
1638,0,1,1,0,0,1,0,0,0
1640,0,0,0,0,1,0,0,0,0
1642,0,1,0,0,0,0,0,0,0
1648,0,0,0,0,1,0,0,0,0
1651,0,0,0,0,0,1,0,0,0
1652,0,0,1,0,1,0,0,1,0
1653,0,1,0,0,1,1,0,0,0
1656,0,0,0,0,1,0,0,0,1
1661,0,0,0,0,0,1,0,1,0
1665,0,0,0,0,1,1,0,0,0
1668,0,0,0,0,1,0,0,0,0
1669,0,1,0,0,0,1,0,0,0
1670,0,0,0,0,0,0,0,0,1
1673,0,0,0,0,1,1,0,0,0
